,COLLISION_ID,DATES,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET,BIKE_LANE,DAY_OF_WEEK,MONTH
78,4277878," January 16, 2020",17:00:00,BRONX,10457,40.845238,-73.900894,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,sedan,Bike,PARK AVENUE,0,Thursday,January
79,4274922," January 16, 2020",18:00:00,MANHATTAN,10016,40.74954,-73.97744,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,taxi,Bike,LEXINGTON AVENUE,1,Thursday,January
80,4274513," January 16, 2020",19:00:00,MANHATTAN,10032,40.832764,-73.94583,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,E-Bike,BROADWAY,0,Thursday,January
81,4274816," January 16, 2020",19:00:00,BROOKLYN,11228,40.6067,-74.010826,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,bike,Station Wagon/Sport Utility Vehicle,BATH AVENUE,1,Thursday,January
82,4274376," January 16, 2020",21:00:00,QUEENS,11377,40.756298,-73.89893,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,32 AVENUE,0,Thursday,January
83,4274426," January 16, 2020",22:00:00,QUEENS,11354,40.761547,-73.83113,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,MAIN STREET,0,Thursday,January
84,4276916," January 17, 2020",13:00:00,BROOKLYN,11210,40.638603,-73.94827,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,sedan,Bike,NOSTRAND AVENUE,0,Friday,January
85,4276406," January 17, 2020",13:00:00,QUEENS,11432,40.704304,-73.80315,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,sedan,Bike,153 STREET,0,Friday,January
86,4275979," January 17, 2020",13:00:00,MANHATTAN,10022,40.76155,-73.96659,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,View Obstructed/Limited,bike,Beverage Truck,EAST 59 STREET,0,Friday,January
87,4275869," January 17, 2020",15:00:00,QUEENS,11355,40.75662,-73.81718,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,sedan,Bike,PARSONS BOULEVARD,0,Friday,January
